Clusters,Centroid,K
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",2
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],2
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",3
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],3
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],3
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",4
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],4
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],4
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],4
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",5
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],5
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],5
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],5
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],5
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",6
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],6
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],6
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],6
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],6
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],6
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",7
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],7
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],7
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],7
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],7
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],7
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],7
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",8
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],8
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],8
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],8
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],8
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],8
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],8
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],8
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",9
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],9
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],9
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],9
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],9
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],9
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],9
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],9
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],9
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",10
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],10
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],10
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],10
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],10
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],10
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],10
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],10
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],10
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],10
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",11
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],11
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],11
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],11
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],11
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],11
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],11
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],11
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],11
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],11
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],11
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",12
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],12
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],12
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],12
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],12
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],12
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],12
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],12
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],12
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],12
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],12
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],12
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",13
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],13
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],13
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],13
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],13
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],13
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],13
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],13
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],13
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],13
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],13
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],13
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],13
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",14
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],14
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],14
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],14
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],14
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],14
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],14
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],14
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],14
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],14
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],14
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],14
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],14
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],14
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",15
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],15
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],15
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],15
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],15
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],15
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],15
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],15
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],15
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],15
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],15
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],15
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],15
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],15
[14],[-1.01770927 -0.83086267  0.84176131 -0.99971501  0.12384461  0.05643404],15
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",16
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],16
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],16
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],16
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],16
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],16
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],16
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],16
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],16
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],16
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],16
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],16
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],16
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],16
[14],[-1.01770927 -0.83086267  0.84176131 -0.99971501  0.12384461  0.05643404],16
[15],[-1.89340092  0.05259483  0.69975297 -0.27047747  0.23256139  0.36084396],16
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",17
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],17
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],17
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],17
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],17
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],17
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],17
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],17
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],17
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],17
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],17
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],17
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],17
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],17
[14],[-1.01770927 -0.83086267  0.84176131 -0.99971501  0.12384461  0.05643404],17
[15],[-1.89340092  0.05259483  0.69975297 -0.27047747  0.23256139  0.36084396],17
[16],[-1.45202392 -0.34885601  0.58590483 -0.7244344   0.13220211  0.21161117],17
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",18
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],18
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],18
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],18
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],18
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],18
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],18
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],18
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],18
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],18
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],18
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],18
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],18
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],18
[14],[-1.01770927 -0.83086267  0.84176131 -0.99971501  0.12384461  0.05643404],18
[15],[-1.89340092  0.05259483  0.69975297 -0.27047747  0.23256139  0.36084396],18
[16],[-1.45202392 -0.34885601  0.58590483 -0.7244344   0.13220211  0.21161117],18
[17],[-1.35399704 -0.11861095  0.50730235 -0.77523298  0.59028776 -0.55879963],18
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",19
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],19
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],19
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],19
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],19
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],19
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],19
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],19
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],19
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],19
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],19
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],19
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],19
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],19
[14],[-1.01770927 -0.83086267  0.84176131 -0.99971501  0.12384461  0.05643404],19
[15],[-1.89340092  0.05259483  0.69975297 -0.27047747  0.23256139  0.36084396],19
[16],[-1.45202392 -0.34885601  0.58590483 -0.7244344   0.13220211  0.21161117],19
[17],[-1.35399704 -0.11861095  0.50730235 -0.77523298  0.59028776 -0.55879963],19
[18],[-1.45865577 -0.36070707  0.2164406  -0.74639801  1.25578377  0.02634262],19
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",20
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],20
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],20
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],20
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],20
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],20
[6],[-1.43934258 -1.01364104 -0.15260516  0.24940586  0.72620306  0.94560258],20
[7],[-1.54406657  0.42763142  0.82351969 -1.12877012  0.41804556 -0.00820566],20
[8],[-0.7175691  -0.45155282  0.18239335 -1.08732271 -0.08711282 -0.27495802],20
[9],[-0.6631337  -0.18129398 -0.21301409 -1.19315997  0.05888362 -0.26002103],20
[10],[-1.51699823  0.3029472   0.58396029 -0.67531465 -0.30052777 -0.15585543],20
[11],[-1.74819176 -0.60643513  0.41980521  0.45947843  0.89729294  0.38151753],20
[12],[-0.90360856 -0.03793194  0.19335009 -0.47719812  0.44470332 -1.5145039 ],20
[13],[-1.31609609  0.67209032 -0.84031674 -0.82007706 -0.16567467  0.87600049],20
[14],[-1.01770927 -0.83086267  0.84176131 -0.99971501  0.12384461  0.05643404],20
[15],[-1.89340092  0.05259483  0.69975297 -0.27047747  0.23256139  0.36084396],20
[16],[-1.45202392 -0.34885601  0.58590483 -0.7244344   0.13220211  0.21161117],20
[17],[-1.35399704 -0.11861095  0.50730235 -0.77523298  0.59028776 -0.55879963],20
[18],[-1.45865577 -0.36070707  0.2164406  -0.74639801  1.25578377  0.02634262],20
[19],[-0.93543994 -0.87836648 -0.7828086  -0.52239908  0.23736861  0.74814899],20
[0],"[-1.49576602e+00  1.13335396e-03  5.87190504e-01 -1.02614593e+00
  3.06113239e-01  5.43629244e-01]",21
[1],[-1.15867248 -0.30958482 -0.09485306 -1.02219041  1.82568587 -0.06697445],21
[2],[-0.21182525  0.40845741 -1.02038428 -1.15443564  1.78887293 -1.48109269],21
[3],[-0.88139738 -0.10107571  1.85673777 -0.61448098 -1.005563   -1.14660796],21
[4],[-0.96924681 -0.40427516 -0.09887569 -1.02186222  1.66944734 -0.5420871 ],21
[5],[-1.57328612  0.62838216  1.20036854 -0.77785852 -0.44821728 -0.38437962],21
